x,Ábaco 2
1.7211,4
1.9015,4.1966
2.0722,4.4049
2.2528,4.5914
2.4588,4.8033
2.6745,5.0036
2.9159,5.1994
3.056,5.2882
3.2246,5.4104
3.489,5.5614
4.0284,5.7947
4.4728,5.9209
4.9754,6.0048
5.4913,6.0611
6.0073,6.0991
6.5204,6.1209
6.9887,6.1278
7.4988,6.1267
8.0089,6.1267
8.4708,6.1301
9.0003,6.1198
9.4976,6.1152
9.9886,6.1037
10.4892,6.0934
11.0058,6.0877
11.4711,6.0738
11.9718,6.0578
12.4917,6.0417
12.9892,6.0211
13.4739,6.005
14.0003,5.9832
14.4946,5.9637
15.0211,5.935
15.5123,5.904
16.0324,5.8719
16.5044,5.8408
17.0374,5.8007
17.5127,5.7616
18.0202,5.7122
18.5116,5.6628
19.0449,5.6009
19.4852,5.5399
20,5.4663
